name,angle,grade,placements,ascents,hold_count,quality_average
dmw15,45,20.5,"[{'x': 30, 'y': 7, 'type': 'START', 'ledPosition': 405}, {'x': 32, 'y': 7, 'type': 'START', 'ledPosition': 446}, {'x': 20, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 292}, {'x': 28, 'y': 15, 'type': 'MIDDLE', 'ledPosition': 389}, {'x': 16, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 233}, {'x': 20, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 284}, {'x': 20, 'y': 27, 'type': 'MIDDLE', 'ledPosition': 278}, {'x': 24, 'y': 29, 'type': 'MIDDLE', 'ledPosition': 328}, {'x': 26, 'y': 35, 'type': 'FINISH', 'ledPosition': 374}, {'x': 35, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 0}, {'x': 31, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 4}, {'x': 21, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 14}, {'x': 17, 'y': 2, 'type': 'FEET-ONLY', 'ledPosition': 246}, {'x': 23, 'y': 4, 'type': 'FEET-ONLY', 'ledPosition': 301}, {'x': 15, 'y': 8, 'type': 'FEET-ONLY', 'ledPosition': 202}, {'x': 15, 'y': 12, 'type': 'FEET-ONLY', 'ledPosition': 205}]",2,16,2.5
pinchfest,25,22.8235,"[{'x': 26, 'y': 7, 'type': 'FEET-ONLY', 'ledPosition': 354}, {'x': 34, 'y': 11, 'type': 'START', 'ledPosition': 459}, {'x': 32, 'y': 17, 'type': 'MIDDLE', 'ledPosition': 439}, {'x': 24, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 335}, {'x': 18, 'y': 21, 'type': 'MIDDLE', 'ledPosition': 263}, {'x': 18, 'y': 23, 'type': 'MIDDLE', 'ledPosition': 264}, {'x': 30, 'y': 23, 'type': 'MIDDLE', 'ledPosition': 417}, {'x': 10, 'y': 25, 'type': 'MIDDLE', 'ledPosition': 164}, {'x': 12, 'y': 33, 'type': 'FINISH', 'ledPosition': 172}, {'x': 35, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 0}, {'x': 19, 'y': 12, 'type': 'FEET-ONLY', 'ledPosition': 256}, {'x': 13, 'y': 14, 'type': 'FEET-ONLY', 'ledPosition': 186}, {'x': 21, 'y': 14, 'type': 'FEET-ONLY', 'ledPosition': 288}, {'x': 31, 'y': 16, 'type': 'FEET-ONLY', 'ledPosition': 412}, {'x': 9, 'y': 18, 'type': 'FEET-ONLY', 'ledPosition': 132}]",34,15,2.70588
Sad Small Duck,25,16.5,"[{'x': 24, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 11}, {'x': 22, 'y': 1, 'type': 'FEET-ONLY', 'ledPosition': 299}, {'x': 6, 'y': 7, 'type': 'START', 'ledPosition': 99}, {'x': 28, 'y': 7, 'type': 'FEET-ONLY', 'ledPosition': 395}, {'x': 4, 'y': 9, 'type': 'START', 'ledPosition': 88}, {'x': 12, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 190}, {'x': 14, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 203}, {'x': 22, 'y': 11, 'type': 'MIDDLE', 'ledPosition': 306}, {'x': 22, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 308}, {'x': 18, 'y': 21, 'type': 'MIDDLE', 'ledPosition': 263}, {'x': 20, 'y': 21, 'type': 'MIDDLE', 'ledPosition': 283}, {'x': 8, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 122}, {'x': 14, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 219}, {'x': 10, 'y': 35, 'type': 'FINISH', 'ledPosition': 170}, {'x': 23, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 12}, {'x': 15, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 20}, {'x': 11, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 24}, {'x': 17, 'y': 10, 'type': 'FEET-ONLY', 'ledPosition': 240}, {'x': 19, 'y': 24, 'type': 'FEET-ONLY', 'ledPosition': 265}]",4,19,3.0
Sad Small Duck,30,19.0,"[{'x': 24, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 11}, {'x': 22, 'y': 1, 'type': 'FEET-ONLY', 'ledPosition': 299}, {'x': 6, 'y': 7, 'type': 'START', 'ledPosition': 99}, {'x': 28, 'y': 7, 'type': 'FEET-ONLY', 'ledPosition': 395}, {'x': 4, 'y': 9, 'type': 'START', 'ledPosition': 88}, {'x': 12, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 190}, {'x': 14, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 203}, {'x': 22, 'y': 11, 'type': 'MIDDLE', 'ledPosition': 306}, {'x': 22, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 308}, {'x': 18, 'y': 21, 'type': 'MIDDLE', 'ledPosition': 263}, {'x': 20, 'y': 21, 'type': 'MIDDLE', 'ledPosition': 283}, {'x': 8, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 122}, {'x': 14, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 219}, {'x': 10, 'y': 35, 'type': 'FINISH', 'ledPosition': 170}, {'x': 23, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 12}, {'x': 15, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 20}, {'x': 11, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 24}, {'x': 17, 'y': 10, 'type': 'FEET-ONLY', 'ledPosition': 240}, {'x': 19, 'y': 24, 'type': 'FEET-ONLY', 'ledPosition': 265}]",3,19,2.66667
Sad Small Duck,45,22.1,"[{'x': 24, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 11}, {'x': 22, 'y': 1, 'type': 'FEET-ONLY', 'ledPosition': 299}, {'x': 6, 'y': 7, 'type': 'START', 'ledPosition': 99}, {'x': 28, 'y': 7, 'type': 'FEET-ONLY', 'ledPosition': 395}, {'x': 4, 'y': 9, 'type': 'START', 'ledPosition': 88}, {'x': 12, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 190}, {'x': 14, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 203}, {'x': 22, 'y': 11, 'type': 'MIDDLE', 'ledPosition': 306}, {'x': 22, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 308}, {'x': 18, 'y': 21, 'type': 'MIDDLE', 'ledPosition': 263}, {'x': 20, 'y': 21, 'type': 'MIDDLE', 'ledPosition': 283}, {'x': 8, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 122}, {'x': 14, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 219}, {'x': 10, 'y': 35, 'type': 'FINISH', 'ledPosition': 170}, {'x': 23, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 12}, {'x': 15, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 20}, {'x': 11, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 24}, {'x': 17, 'y': 10, 'type': 'FEET-ONLY', 'ledPosition': 240}, {'x': 19, 'y': 24, 'type': 'FEET-ONLY', 'ledPosition': 265}]",10,19,2.8
Sad Small Duck,60,23.0,"[{'x': 24, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 11}, {'x': 22, 'y': 1, 'type': 'FEET-ONLY', 'ledPosition': 299}, {'x': 6, 'y': 7, 'type': 'START', 'ledPosition': 99}, {'x': 28, 'y': 7, 'type': 'FEET-ONLY', 'ledPosition': 395}, {'x': 4, 'y': 9, 'type': 'START', 'ledPosition': 88}, {'x': 12, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 190}, {'x': 14, 'y': 9, 'type': 'MIDDLE', 'ledPosition': 203}, {'x': 22, 'y': 11, 'type': 'MIDDLE', 'ledPosition': 306}, {'x': 22, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 308}, {'x': 18, 'y': 21, 'type': 'MIDDLE', 'ledPosition': 263}, {'x': 20, 'y': 21, 'type': 'MIDDLE', 'ledPosition': 283}, {'x': 8, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 122}, {'x': 14, 'y': 31, 'type': 'MIDDLE', 'ledPosition': 219}, {'x': 10, 'y': 35, 'type': 'FINISH', 'ledPosition': 170}, {'x': 23, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 12}, {'x': 15, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 20}, {'x': 11, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 24}, {'x': 17, 'y': 10, 'type': 'FEET-ONLY', 'ledPosition': 240}, {'x': 19, 'y': 24, 'type': 'FEET-ONLY', 'ledPosition': 265}]",17,19,2.82353
Saturday morning,20,15.5,"[{'x': 6, 'y': 5, 'type': 'START', 'ledPosition': 98}, {'x': 6, 'y': 11, 'type': 'MIDDLE', 'ledPosition': 102}, {'x': 12, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 187}, {'x': 10, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 159}, {'x': 6, 'y': 25, 'type': 'MIDDLE', 'ledPosition': 113}, {'x': 14, 'y': 25, 'type': 'MIDDLE', 'ledPosition': 215}, {'x': 6, 'y': 33, 'type': 'MIDDLE', 'ledPosition': 118}, {'x': 2, 'y': 35, 'type': 'FINISH', 'ledPosition': 68}, {'x': 1, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 33}, {'x': 1, 'y': 2, 'type': 'FEET-ONLY', 'ledPosition': 37}, {'x': 3, 'y': 4, 'type': 'FEET-ONLY', 'ledPosition': 39}, {'x': 15, 'y': 4, 'type': 'FEET-ONLY', 'ledPosition': 199}, {'x': 15, 'y': 8, 'type': 'FEET-ONLY', 'ledPosition': 202}, {'x': 7, 'y': 16, 'type': 'FEET-ONLY', 'ledPosition': 106}, {'x': 1, 'y': 18, 'type': 'FEET-ONLY', 'ledPosition': 53}, {'x': 1, 'y': 22, 'type': 'FEET-ONLY', 'ledPosition': 57}]",8,16,2.375
Saturday morning,30,14.1765,"[{'x': 6, 'y': 5, 'type': 'START', 'ledPosition': 98}, {'x': 6, 'y': 11, 'type': 'MIDDLE', 'ledPosition': 102}, {'x': 12, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 187}, {'x': 10, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 159}, {'x': 6, 'y': 25, 'type': 'MIDDLE', 'ledPosition': 113}, {'x': 14, 'y': 25, 'type': 'MIDDLE', 'ledPosition': 215}, {'x': 6, 'y': 33, 'type': 'MIDDLE', 'ledPosition': 118}, {'x': 2, 'y': 35, 'type': 'FINISH', 'ledPosition': 68}, {'x': 1, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 33}, {'x': 1, 'y': 2, 'type': 'FEET-ONLY', 'ledPosition': 37}, {'x': 3, 'y': 4, 'type': 'FEET-ONLY', 'ledPosition': 39}, {'x': 15, 'y': 4, 'type': 'FEET-ONLY', 'ledPosition': 199}, {'x': 15, 'y': 8, 'type': 'FEET-ONLY', 'ledPosition': 202}, {'x': 7, 'y': 16, 'type': 'FEET-ONLY', 'ledPosition': 106}, {'x': 1, 'y': 18, 'type': 'FEET-ONLY', 'ledPosition': 53}, {'x': 1, 'y': 22, 'type': 'FEET-ONLY', 'ledPosition': 57}]",17,16,2.47059
Saturday morning,45,15.0,"[{'x': 6, 'y': 5, 'type': 'START', 'ledPosition': 98}, {'x': 6, 'y': 11, 'type': 'MIDDLE', 'ledPosition': 102}, {'x': 12, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 187}, {'x': 10, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 159}, {'x': 6, 'y': 25, 'type': 'MIDDLE', 'ledPosition': 113}, {'x': 14, 'y': 25, 'type': 'MIDDLE', 'ledPosition': 215}, {'x': 6, 'y': 33, 'type': 'MIDDLE', 'ledPosition': 118}, {'x': 2, 'y': 35, 'type': 'FINISH', 'ledPosition': 68}, {'x': 1, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 33}, {'x': 1, 'y': 2, 'type': 'FEET-ONLY', 'ledPosition': 37}, {'x': 3, 'y': 4, 'type': 'FEET-ONLY', 'ledPosition': 39}, {'x': 15, 'y': 4, 'type': 'FEET-ONLY', 'ledPosition': 199}, {'x': 15, 'y': 8, 'type': 'FEET-ONLY', 'ledPosition': 202}, {'x': 7, 'y': 16, 'type': 'FEET-ONLY', 'ledPosition': 106}, {'x': 1, 'y': 18, 'type': 'FEET-ONLY', 'ledPosition': 53}, {'x': 1, 'y': 22, 'type': 'FEET-ONLY', 'ledPosition': 57}]",2,16,2.5
Saturday morning,60,20.5,"[{'x': 6, 'y': 5, 'type': 'START', 'ledPosition': 98}, {'x': 6, 'y': 11, 'type': 'MIDDLE', 'ledPosition': 102}, {'x': 12, 'y': 13, 'type': 'MIDDLE', 'ledPosition': 187}, {'x': 10, 'y': 19, 'type': 'MIDDLE', 'ledPosition': 159}, {'x': 6, 'y': 25, 'type': 'MIDDLE', 'ledPosition': 113}, {'x': 14, 'y': 25, 'type': 'MIDDLE', 'ledPosition': 215}, {'x': 6, 'y': 33, 'type': 'MIDDLE', 'ledPosition': 118}, {'x': 2, 'y': 35, 'type': 'FINISH', 'ledPosition': 68}, {'x': 1, 'y': 0, 'type': 'FEET-ONLY', 'ledPosition': 33}, {'x': 1, 'y': 2, 'type': 'FEET-ONLY', 'ledPosition': 37}, {'x': 3, 'y': 4, 'type': 'FEET-ONLY', 'ledPosition': 39}, {'x': 15, 'y': 4, 'type': 'FEET-ONLY', 'ledPosition': 199}, {'x': 15, 'y': 8, 'type': 'FEET-ONLY', 'ledPosition': 202}, {'x': 7, 'y': 16, 'type': 'FEET-ONLY', 'ledPosition': 106}, {'x': 1, 'y': 18, 'type': 'FEET-ONLY', 'ledPosition': 53}, {'x': 1, 'y': 22, 'type': 'FEET-ONLY', 'ledPosition': 57}]",4,16,3.0
